Trial,Bandit,Reward,Algorithm
490,3.0,5.231565604804947,ThompsonSampling
491,3.0,6.283979775103067,ThompsonSampling
492,3.0,2.595586635766675,ThompsonSampling
493,3.0,2.8570422684814574,ThompsonSampling
494,3.0,4.446867421484149,ThompsonSampling
495,3.0,4.109965810205445,ThompsonSampling
496,3.0,3.9719169526102984,ThompsonSampling
497,3.0,3.8277981607880167,ThompsonSampling
498,3.0,4.061148794722559,ThompsonSampling
499,3.0,5.191291348854774,ThompsonSampling
500,3.0,2.9494472485282133,ThompsonSampling
501,3.0,3.289439124873066,ThompsonSampling
502,3.0,2.4837483376486453,ThompsonSampling
503,3.0,4.842415260691231,ThompsonSampling
504,3.0,3.217610943008541,ThompsonSampling
505,3.0,5.137865695986747,ThompsonSampling
506,3.0,3.8497303587778706,ThompsonSampling
507,3.0,5.275994997718444,ThompsonSampling
508,3.0,4.384633432998717,ThompsonSampling
509,3.0,4.5994645828182446,ThompsonSampling
510,3.0,4.32182971323737,ThompsonSampling
511,3.0,5.302608061615333,ThompsonSampling
512,3.0,4.066180901636069,ThompsonSampling
513,3.0,5.319864727473053,ThompsonSampling
514,3.0,3.278884329273126,ThompsonSampling
515,3.0,3.4524261098343163,ThompsonSampling
516,3.0,4.856529038457439,ThompsonSampling
517,3.0,5.928308426727413,ThompsonSampling
518,3.0,4.911261430706379,ThompsonSampling
519,3.0,3.609004444185602,ThompsonSampling
520,3.0,3.4194320232991577,ThompsonSampling
521,3.0,5.81633970814493,ThompsonSampling
522,3.0,3.9373727698000742,ThompsonSampling
523,3.0,3.683482221161634,ThompsonSampling
524,3.0,2.6598206243189635,ThompsonSampling
525,3.0,5.2594610564379565,ThompsonSampling
526,3.0,3.498520106014513,ThompsonSampling
527,3.0,2.4784276022205827,ThompsonSampling
528,3.0,4.463720446041866,ThompsonSampling
529,3.0,2.834763788986635,ThompsonSampling
530,3.0,3.570000766905995,ThompsonSampling
531,3.0,6.12036018373723,ThompsonSampling
532,3.0,5.050651681754008,ThompsonSampling
533,3.0,4.370148724660264,ThompsonSampling
534,3.0,2.305627199674933,ThompsonSampling
535,3.0,2.320900485015913,ThompsonSampling
536,3.0,3.0001377419520154,ThompsonSampling
537,3.0,4.834468288704846,ThompsonSampling
538,3.0,3.564766125063248,ThompsonSampling
539,3.0,5.490768809522029,ThompsonSampling
540,3.0,3.71443559854487,ThompsonSampling
541,3.0,4.197975060614977,ThompsonSampling
542,3.0,4.05326553498137,ThompsonSampling
543,3.0,3.1126726294984195,ThompsonSampling
544,3.0,4.672838543668791,ThompsonSampling
545,3.0,4.337340826487231,ThompsonSampling
546,3.0,5.21785732472657,ThompsonSampling
547,3.0,4.196770976766542,ThompsonSampling
548,3.0,4.569650843490637,ThompsonSampling
549,3.0,3.3437119521310468,ThompsonSampling
550,3.0,5.321218170599023,ThompsonSampling
551,3.0,4.008510867256032,ThompsonSampling
552,3.0,3.2168167618779853,ThompsonSampling
553,3.0,4.509773503221448,ThompsonSampling
554,3.0,4.562424369708312,ThompsonSampling
555,3.0,3.3102718381257157,ThompsonSampling
556,3.0,4.698369048619759,ThompsonSampling
557,3.0,5.093807629105456,ThompsonSampling
558,3.0,3.6929165495611342,ThompsonSampling
559,3.0,3.9362674675445817,ThompsonSampling
560,3.0,3.753580715560232,ThompsonSampling
561,3.0,4.494424958845037,ThompsonSampling
562,3.0,3.7662933000080945,ThompsonSampling
563,3.0,2.195844629489055,ThompsonSampling
564,3.0,6.34796485904676,ThompsonSampling
565,3.0,4.41938411658639,ThompsonSampling
566,3.0,4.423596244887055,ThompsonSampling
567,3.0,2.954172195154681,ThompsonSampling
568,3.0,3.606139974777303,ThompsonSampling
569,3.0,4.19949351832261,ThompsonSampling
570,3.0,3.70346044658852,ThompsonSampling
571,3.0,3.6007460556757866,ThompsonSampling
572,3.0,4.724452941096993,ThompsonSampling
573,3.0,4.139374499955008,ThompsonSampling
574,3.0,4.444261806658892,ThompsonSampling
575,3.0,3.3735760340134933,ThompsonSampling
576,3.0,3.473149696524433,ThompsonSampling
577,3.0,3.808511538846043,ThompsonSampling
578,3.0,2.209382165139929,ThompsonSampling
579,3.0,4.357751839333715,ThompsonSampling
580,3.0,4.346789627036701,ThompsonSampling
581,3.0,5.248571909367652,ThompsonSampling
582,3.0,4.36713103923275,ThompsonSampling
583,3.0,3.8016095771753275,ThompsonSampling
584,3.0,4.352504943291861,ThompsonSampling
585,3.0,2.751050416938141,ThompsonSampling
586,3.0,4.749161878952188,ThompsonSampling
587,3.0,4.765249736749777,ThompsonSampling
588,3.0,3.212271711845326,ThompsonSampling
589,3.0,3.982062173484673,ThompsonSampling
590,3.0,4.227000861269039,ThompsonSampling
591,3.0,5.838154720930499,ThompsonSampling
592,3.0,4.110856459219081,ThompsonSampling
593,3.0,3.655330877305148,ThompsonSampling
594,3.0,2.18429789881021,ThompsonSampling
595,3.0,3.764864645115721,ThompsonSampling
